name,category,calories,protein,fiber,vitamins,sugar,saturated_fat,sodium,season,tags
西红柿,蔬菜,18,1,2,7,3,0,1,夏季,维生素C
黄瓜,蔬菜,15,1,1,4,2,0,1,夏季,"低卡,补水"
冬瓜,蔬菜,11,0,1,4,1,0,1,夏季,低卡
南瓜,蔬菜,26,1,1,6,3,0,1,秋季,维生素A
西葫芦,蔬菜,17,1,1,5,2,0,1,夏季,低卡
茄子,蔬菜,25,1,2,4,2,0,1,夏季,
青椒,蔬菜,22,1,2,7,2,0,1,夏季,维生素C
彩椒,蔬菜,26,1,2,8,3,0,1,夏季,维生素C
洋葱,蔬菜,40,1,2,5,4,0,2,四季,抗氧化
蒜,蔬菜,149,2,1,5,1,0,1,四季,调味
姜,蔬菜,80,1,1,4,1,0,1,四季,调味
胡萝卜,蔬菜,41,1,3,9,5,0,2,四季,维生素A
白萝卜,蔬菜,16,1,2,5,2,0,2,冬季,消食
莲藕,蔬菜,74,2,3,5,2,0,2,秋季,滋补
山药,蔬菜,56,2,2,6,1,0,1,秋季,养胃
芦笋,蔬菜,20,2,2,7,2,0,1,春季,
秋葵,蔬菜,33,2,3,6,2,0,1,夏季,
苦瓜,蔬菜,17,1,2,5,1,0,1,夏季,清热
丝瓜,蔬菜,20,1,1,5,2,0,1,夏季,
蘑菇,蔬菜,22,3,1,6,1,0,1,四季,"菌类,抗氧化"
香菇,蔬菜,26,3,2,6,1,0,1,四季,菌类
金针菇,蔬菜,32,3,3,5,1,0,1,四季,菌类
杏鲍菇,蔬菜,35,3,2,5,1,0,1,四季,菌类
木耳,蔬菜,25,1,3,5,1,0,1,四季,"菌类,胶质"
海带,蔬菜,43,1,2,5,0,0,8,四季,"海藻,碘"
紫菜,蔬菜,35,3,3,6,0,0,5,四季,"海藻,碘"
苹果,水果,52,0,2,5,10,0,1,四季,"健康,膳食纤维"
香蕉,水果,89,1,2,6,12,0,1,四季,"高钾,能量"
橙子,水果,47,1,2,8,9,0,1,冬季,维生素C
橘子,水果,44,1,2,7,9,0,1,冬季,维生素C
柚子,水果,38,1,1,7,8,0,1,秋季,维生素C
柠檬,水果,29,1,1,7,2,0,1,四季,维生素C
蓝莓,水果,57,1,3,7,10,0,1,夏季,抗氧化
草莓,水果,32,1,2,9,5,0,1,春季,维生素C
猕猴桃,水果,61,1,3,9,9,0,1,四季,维生素C
葡萄,水果,69,1,1,5,16,0,1,秋季,抗氧化
西瓜,水果,30,1,0,6,6,0,1,夏季,补水
哈密瓜,水果,34,1,1,6,8,0,1,夏季,
桃子,水果,39,1,1,5,8,0,1,夏季,
梨,水果,42,0,2,4,10,0,1,秋季,润肺
芒果,水果,60,1,2,7,14,0,1,夏季,维生素A
菠萝,水果,50,1,1,6,10,0,1,春季,蛋白酶
樱桃,水果,50,1,1,6,12,0,1,夏季,抗氧化
石榴,水果,83,1,4,6,13,0,1,秋季,抗氧化
柿子,水果,70,1,3,7,12,0,1,秋季,维生素A
火龙果,水果,55,1,2,4,8,0,1,四季,膳食纤维
百香果,水果,97,2,5,7,11,0,1,夏季,维生素C
榴莲,水果,147,2,3,5,13,4,1,夏季,高热量
牛油果,水果,160,2,7,6,1,4,1,四季,健康脂肪
番茄炒蛋,家常菜,98,6,1,7,4,3,3,四季,经典家常
青椒肉丝,家常菜,150,7,1,6,2,4,4,四季,下饭菜
鱼香肉丝,家常菜,180,6,1,5,6,4,5,四季,川菜
宫保鸡丁,家常菜,170,7,1,5,5,4,5,四季,川菜
麻婆豆腐,家常菜,120,5,1,5,2,3,6,四季,川菜
回锅肉,家常菜,300,5,0,4,2,7,5,四季,川菜
红烧肉,家常菜,350,5,0,4,5,8,5,四季,经典
糖醋排骨,家常菜,280,6,0,4,8,6,4,四季,酸甜
可乐鸡翅,家常菜,250,6,0,4,7,5,4,四季,
清蒸鲈鱼,家常菜,110,8,0,6,1,2,3,四季,清淡
酸菜鱼,家常菜,130,7,1,5,1,3,7,四季,川菜
水煮鱼,家常菜,180,7,1,5,1,5,7,四季,川菜
干锅花菜,家常菜,90,3,2,6,2,3,5,四季,香辣
地三鲜,家常菜,140,2,2,5,3,4,4,夏季,东北菜
酸辣土豆丝,家常菜,120,2,2,5,2,2,4,四季,下饭菜
醋溜白菜,家常菜,60,1,1,5,2,1,3,冬季,清淡
蒜蓉西兰花,家常菜,55,4,4,8,1,1,3,四季,健康
蚝油生菜,家常菜,40,1,1,5,2,1,5,四季,快手菜
手撕包菜,家常菜,70,2,2,6,2,2,4,四季,湘菜
干煸四季豆,家常菜,110,2,2,5,2,3,5,夏季,川菜
虎皮青椒,家常菜,80,1,2,7,3,2,4,夏季,下饭菜
红烧茄子,家常菜,130,1,2,4,3,4,4,夏季,
鱼香茄子,家常菜,150,1,2,4,5,4,5,夏季,川菜
西红柿炒鸡蛋,家常菜,95,5,1,7,4,2,2,四季,国民菜
韭菜炒鸡蛋,家常菜,110,6,1,6,1,3,2,春季,
香干炒肉,家常菜,160,7,1,5,2,4,5,四季,
蒜苔炒肉,家常菜,140,6,2,5,2,3,4,春季,
荷兰豆炒腊肉,家常菜,170,5,2,5,2,5,6,冬季,
红烧排骨,家常菜,280,7,0,4,5,7,5,四季,经典
糖醋里脊,家常菜,260,6,0,4,7,5,4,四季,酸甜
京酱肉丝,家常菜,190,7,0,4,5,4,6,四季,北京菜
木须肉,家常菜,150,7,1,5,2,4,4,四季,
宫保虾球,家常菜,140,8,0,5,4,3,4,四季,川菜
椒盐虾,家常菜,150,8,0,5,1,3,5,四季,
葱爆羊肉,家常菜,200,7,0,5,1,5,4,冬季,温补
孜然牛肉,家常菜,210,7,0,5,1,5,5,四季,烧烤风味
黑椒牛柳,家常菜,190,7,0,5,2,4,4,四季,西式
西红柿牛腩,家常菜,170,7,1,7,4,4,4,四季,经典
咖喱鸡肉,家常菜,180,7,1,5,3,4,5,四季,东南亚
黄焖鸡,家常菜,190,8,1,5,3,4,5,四季,鲁菜
大盘鸡,家常菜,220,7,1,5,3,4,5,四季,新疆菜
辣子鸡,家常菜,210,7,0,4,1,5,6,四季,川菜
毛血旺,家常菜,240,6,1,5,2,6,8,四季,川菜
水煮肉片,家常菜,200,7,1,5,1,5,7,四季,川菜
夫妻肺片,家常菜,180,6,0,4,1,5,7,四季,川菜凉菜
口水鸡,家常菜,160,7,0,4,1,4,5,四季,川菜凉菜
蒜泥白肉,家常菜,220,6,0,4,1,6,4,四季,川菜凉菜
凉拌黄瓜,家常菜,30,1,1,4,2,0,4,夏季,凉菜
拍黄瓜,家常菜,35,1,1,4,2,0,4,夏季,凉菜
凉拌木耳,家常菜,40,1,2,5,1,0,4,四季,凉菜
皮蛋豆腐,家常菜,80,4,0,4,1,2,5,夏季,凉菜
大拌菜,家常菜,50,2,2,6,2,0,3,四季,沙拉
酸辣汤,汤类,60,3,1,4,2,1,6,四季,开胃
紫菜蛋花汤,汤类,30,3,1,5,1,1,4,四季,快手汤
番茄蛋花汤,汤类,35,3,1,6,2,1,3,四季,
冬瓜排骨汤,汤类,90,5,1,4,1,2,3,夏季,清热
玉米排骨汤,汤类,110,5,1,4,3,2,3,四季,
罗宋汤,汤类,80,3,2,6,4,1,5,四季,西式
